0, 22
3600, 22
7200, 22
10800, 22
14400, 22
18000, 22
21600, 22
25200, 27.7
28800, 27.9
32400, 28.1
36000, 28.4
39600, 28.6
43200, 28.8
46800, 29
50400, 29.2
54000, 29.4
57600, 29.6
61200, 29.8
64800, 30
68400, 24.5
72000, 24.5
75600, 24.5
79200, 24.5
82800, 24.5
86400, 24.5
781200, 37.7
784800, 37.6
788400, 37.5
792000, 37.5
795600, 37.4
799200, 37.3
802800, 43
806400, 43.2
810000, 43.3
813600, 43.5
817200, 43.6
820800, 43.8
824400, 43.9
828000, 44.1
831600, 44.3
835200, 44.4
838800, 44.6
842400, 44.7
846000, 39.1
849600, 39.1
853200, 39
856800, 38.9
860400, 38.9
864000, 38.8
5101200, 49.9
5104800, 49.8
5108400, 49.7
5112000, 49.6
5115600, 49.4
5119200, 49.3
5122800, 54.9
5126400, 55.1
5130000, 55.2
5133600, 55.3
5137200, 55.4
5140800, 55.5
5144400, 55.6
5148000, 55.7
5151600, 55.8
5155200, 55.9
5158800, 56.1
5162400, 56.2
5166000, 50.6
5169600, 50.4
5173200, 50.3
5176800, 50.2
5180400, 50.1
5184000, 50
